# Simulation 2 (Up to date)
# 735 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (ft),Vertical velocity (m/s),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
183.038,-11.574,0.459,34.253
181.14,-11.564,0.459,34.253
179.243,-11.558,0.459,34.253
177.348,-11.556,0.459,34.253
175.452,-11.557,0.459,34.253
173.556,-11.562,0.459,34.253
171.658,-11.57,0.459,34.253
169.76,-11.58,0.459,34.253
167.859,-11.592,0.459,34.253
165.957,-11.604,0.459,34.253
164.052,-11.614,0.459,34.253
162.146,-11.622,0.459,34.253
160.239,-11.627,0.459,34.253
158.332,-11.628,0.459,34.253
156.425,-11.624,0.459,34.253
154.518,-11.617,0.459,34.253
152.614,-11.606,0.459,34.253
150.711,-11.593,0.459,34.253
148.81,-11.579,0.459,34.253
146.912,-11.565,0.459,34.253
145.016,-11.552,0.459,34.253
143.121,-11.542,0.459,34.253
141.229,-11.536,0.459,34.253
139.337,-11.533,0.459,34.253
137.444,-11.535,0.459,34.253
135.552,-11.542,0.459,34.253
133.657,-11.553,0.459,34.253
131.761,-11.567,0.459,34.253
129.862,-11.584,0.459,34.253
127.961,-11.601,0.459,34.253
126.056,-11.618,0.459,34.253
124.149,-11.632,0.459,34.253
122.24,-11.644,0.459,34.253
120.329,-11.651,0.459,34.253
118.418,-11.652,0.459,34.253
116.507,-11.648,0.459,34.253
114.597,-11.639,0.459,34.253
112.688,-11.625,0.459,34.253
110.783,-11.606,0.459,34.253
108.881,-11.585,0.459,34.253
106.982,-11.563,0.459,34.253
105.087,-11.542,0.459,34.253
103.195,-11.524,0.459,34.253
101.306,-11.51,0.459,34.253
99.419,-11.5,0.459,34.253
97.533,-11.495,0.459,34.253
95.647,-11.497,0.459,34.253
93.76,-11.504,0.459,34.253
91.872,-11.518,0.459,34.253
89.981,-11.537,0.459,34.253
88.087,-11.56,0.459,34.253
86.188,-11.586,0.459,34.253
84.285,-11.613,0.459,34.253
82.378,-11.639,0.459,34.253
80.467,-11.661,0.459,34.253
78.553,-11.68,0.459,34.253
76.636,-11.692,0.459,34.253
74.717,-11.696,0.459,34.253
72.799,-11.693,0.459,34.253
70.881,-11.682,0.459,34.253
68.966,-11.665,0.459,34.253
67.054,-11.643,0.459,34.253
65.146,-11.619,0.459,34.253
63.243,-11.594,0.459,34.253
61.343,-11.571,0.459,34.253
59.446,-11.551,0.459,34.253
57.552,-11.537,0.459,34.253
55.661,-11.529,0.459,34.253
53.769,-11.529,0.459,34.253
51.878,-11.536,0.459,34.253
49.984,-11.549,0.459,34.253
48.088,-11.568,0.459,34.253
46.189,-11.589,0.459,34.253
44.286,-11.614,0.459,34.253
42.379,-11.639,0.459,34.253
40.467,-11.663,0.459,34.253
38.552,-11.684,0.459,34.253
36.634,-11.701,0.459,34.253
34.714,-11.713,0.459,34.253
32.792,-11.718,0.459,34.253
30.87,-11.717,0.459,34.253
28.948,-11.711,0.459,34.253
27.028,-11.699,0.459,34.253
25.11,-11.682,0.459,34.253
23.195,-11.662,0.459,34.253
21.284,-11.641,0.459,34.253
19.376,-11.621,0.459,34.253
17.471,-11.602,0.459,34.253
15.569,-11.587,0.459,34.253
13.669,-11.577,0.459,34.253
11.771,-11.571,0.459,34.253
9.873,-11.571,0.459,34.253
7.974,-11.575,0.459,34.253
6.075,-11.583,0.459,34.253
4.174,-11.594,0.459,34.253
2.271,-11.607,0.459,34.253
0.366,-11.619,0.459,34.253
# Event GROUND_HIT occurred at t=28.511 seconds
# Event SIMULATION_END occurred at t=28.511 seconds
-1.541,-11.63,0.459,34.253
